# START_DATE format is %Y-%m-%d
# END_DATE format is %Y-%m-%d
# DAYS is the amount of days between START_DATE and END_DATE (days)
# SITE is the evapotranspiration measurement site
# ET is the evapotranspiration amount between START_DATE and END_DATE (mm)
START_DATE,END_DATE,DAYS,SITE,ET
1969-09-01,1969-09-10,10,ET1,14
1969-09-11,1969-09-20,10,ET1,10
1969-09-21,1969-09-30,10,ET1,9
1969-09-01,1969-09-10,10,ET2.1,15
1969-09-11,1969-09-15,5,ET2.1,7
1969-09-01,1969-09-10,10,ET2.2,14
1969-09-11,1969-09-15,5,ET2.2,9
1969-10-01,1969-10-10,10,ET1,9
1969-10-11,1969-10-20,10,ET1,7
1969-10-21,1969-10-28,8,ET1,3
1969-10-01,1969-10-11,10,ET2.1,10
1969-10-11,1969-10-14,4,ET2.1,5
1969-10-01,1969-10-11,10,ET2.2,7
1969-10-11,1969-10-14,4,ET2.2,2
1970-05-01,1970-05-10,10,ET1,32
1970-05-11,1970-05-20,10,ET1,34
1970-05-21,1970-05-31,11,ET1,43
1970-05-08,1970-05-10,3,ET3,12
1970-05-11,1970-05-20,10,ET3,35
1970-05-21,1970-05-31,11,ET3,39
1970-05-23,1970-05-31,9,ET4,45
1970-05-15,1970-05-20,6,ET2.1,20
1970-05-21,1970-05-31,11,ET2.1,35
1970-05-15,1970-05-20,6,ET2.2,23
1970-05-21,1970-05-31,11,ET2.2,42
1970-06-01,1970-06-10,10,ET1,39
1970-06-11,1970-06-20,10,ET1,37
1970-06-21,1970-06-30,10,ET1,37
1970-06-01,1970-06-10,10,ET3,36
1970-06-11,1970-06-20,10,ET3,33
1970-06-21,1970-06-30,10,ET3,30
1970-06-01,1970-06-10,10,ET4,37
1970-06-11,1970-06-20,10,ET4,30
1970-06-21,1970-06-30,10,ET4,25
1970-06-01,1970-06-10,10,ET2.1,27
1970-06-11,1970-06-20,10,ET2.1,25
1970-06-21,1970-06-30,10,ET2.1,24
1970-06-01,1970-06-10,10,ET2.2,34
1970-06-11,1970-06-20,10,ET2.2,27
1970-06-21,1970-06-30,10,ET2.2,21
1970-07-01,1970-07-10,10,ET1,33
1970-07-11,1970-07-20,10,ET1,25
1970-07-21,1970-07-31,11,ET1,38
1970-07-01,1970-07-10,10,ET3,29
1970-07-11,1970-07-20,10,ET3,23
1970-07-21,1970-07-31,11,ET3,35
1970-07-01,1970-07-10,10,ET4,27
1970-07-11,1970-07-20,10,ET4,24
1970-07-21,1970-07-31,11,ET4,35
1970-07-01,1970-07-10,10,ET2.1,24
1970-07-11,1970-07-20,10,ET2.1,23
1970-07-21,1970-07-31,11,ET2.1,28
1970-07-01,1970-07-10,10,ET2.2,23
1970-07-11,1970-07-20,10,ET2.2,21
1970-07-21,1970-07-31,11,ET2.2,35
1970-08-01,1970-08-10,10,ET1,25
1970-08-11,1970-08-20,10,ET1,24
1970-08-21,1970-08-31,11,ET1,20
1970-08-01,1970-08-10,10,ET3,23
1970-08-11,1970-08-20,10,ET3,22
1970-08-21,1970-08-31,11,ET3,19
1970-08-01,1970-08-10,10,ET4,22
1970-08-11,1970-08-20,10,ET4,22
1970-08-21,1970-08-31,11,ET4,19
1970-08-01,1970-08-10,10,ET2.1,18
1970-08-11,1970-08-20,10,ET2.1,20
1970-08-21,1970-08-31,11,ET2.1,16
1970-08-01,1970-08-10,10,ET2.2,21
1970-08-11,1970-08-20,10,ET2.2,24
1970-08-21,1970-08-31,11,ET2.2,16
1970-09-01,1970-09-10,10,ET1,13
1970-09-11,1970-09-20,10,ET1,10
1970-09-21,1970-09-30,10,ET1,4
1970-09-01,1970-09-10,10,ET3,14
1970-09-11,1970-09-20,10,ET3,9
1970-09-21,1970-09-30,10,ET3,6
1970-09-01,1970-09-10,10,ET4,15
1970-09-11,1970-09-20,10,ET4,9
1970-09-21,1970-09-30,10,ET4,8
1970-09-01,1970-09-10,10,ET2.1,14
1970-09-11,1970-09-20,10,ET2.1,12
1970-09-21,1970-09-30,10,ET2.1,7
1970-09-01,1970-09-10,10,ET2.2,14
1970-09-11,1970-09-20,10,ET2.2,12
1970-09-21,1970-09-30,10,ET2.2,8
1970-10-01,1970-10-10,10,ET1,5
1970-10-01,1970-10-10,10,ET3,6
1970-10-01,1970-10-10,10,ET4,6
1970-10-01,1970-10-10,10,ET2.1,6
1970-10-01,1970-10-10,10,ET2.2,4
1971-05-01,1971-05-10,10,ET1,30
1971-05-11,1971-05-20,10,ET1,36
1971-05-21,1971-05-31,11,ET1,29
1971-05-05,1971-05-10,6,ET2,16
1971-05-11,1971-05-20,10,ET2,37
1971-05-21,1971-05-31,11,ET2,31
1971-05-01,1971-05-10,10,ET3,30
1971-05-11,1971-05-20,10,ET3,34
1971-05-21,1971-05-31,11,ET3,28
1971-05-05,1971-05-10,6,ET4,22
1971-05-11,1971-05-20,10,ET4,39
1971-05-21,1971-05-31,11,ET4,31
1971-06-01,1971-06-10,10,ET1,36
1971-06-11,1971-06-20,10,ET1,23
1971-06-21,1971-06-30,10,ET1,31
1971-06-01,1971-06-10,10,ET2,34
1971-06-11,1971-06-20,10,ET2,22
1971-06-21,1971-06-30,10,ET2,31
1971-06-01,1971-06-10,10,ET3,32
1971-06-11,1971-06-20,10,ET3,21
1971-06-21,1971-06-30,10,ET3,27
1971-06-01,1971-06-10,10,ET4,33
1971-06-11,1971-06-20,10,ET4,26
1971-06-21,1971-06-30,10,ET4,31
1971-07-01,1971-07-10,10,ET1,38
1971-07-11,1971-07-20,10,ET1,29
1971-07-21,1971-07-31,11,ET1,34
1971-07-01,1971-07-10,10,ET2,33
1971-07-11,1971-07-20,10,ET2,25
1971-07-21,1971-07-31,11,ET2,27
1971-07-01,1971-07-10,10,ET3,34
1971-07-11,1971-07-20,10,ET3,23
1971-07-21,1971-07-31,11,ET3,29
1971-07-01,1971-07-10,10,ET4,39
1971-07-11,1971-07-20,10,ET4,30
1971-07-21,1971-07-31,11,ET4,34
1971-08-01,1971-08-10,10,ET1,21
1971-08-11,1971-08-20,10,ET1,22
1971-08-21,1971-08-31,11,ET1,20
1971-08-01,1971-08-10,10,ET2,19
1971-08-11,1971-08-20,10,ET2,20
1971-08-21,1971-08-31,11,ET2,16
1971-08-01,1971-08-10,10,ET3,16
1971-08-11,1971-08-20,10,ET3,18
1971-08-21,1971-08-31,11,ET3,18
1971-08-01,1971-08-10,10,ET4,23
1971-08-11,1971-08-20,10,ET4,24
1971-08-21,1971-08-31,11,ET4,21
1971-09-01,1971-09-10,10,ET1,15
1971-09-11,1971-09-20,10,ET1,9
1971-09-21,1971-09-30,10,ET1,7
1971-09-01,1971-09-10,10,ET2,16
1971-09-11,1971-09-20,10,ET2,11
1971-09-21,1971-09-30,10,ET2,9
1971-09-01,1971-09-10,10,ET3,16
1971-09-11,1971-09-20,10,ET3,9
1971-09-21,1971-09-30,10,ET3,7
1971-09-01,1971-09-10,10,ET4,19
1971-09-11,1971-09-20,10,ET4,13
1971-09-21,1971-09-30,10,ET4,8
1972-05-01,1972-05-10,10,ET1,27
1972-05-11,1972-05-20,10,ET1,23
1972-05-21,1972-05-31,11,ET1,30
1972-05-01,1972-05-10,10,ET2,31
1972-05-11,1972-05-20,10,ET2,27
1972-05-21,1972-05-31,11,ET2,32
1972-05-01,1972-05-10,10,ET3,28
1972-05-11,1972-05-20,10,ET3,24
1972-05-21,1972-05-31,11,ET3,28
1972-06-01,1972-06-10,10,ET1,34
1972-06-11,1972-06-20,10,ET1,31
1972-06-21,1972-06-30,10,ET1,46
1972-06-01,1972-06-10,10,ET2,39
1972-06-11,1972-06-20,10,ET2,31
1972-06-21,1972-06-30,10,ET2,41
1972-06-01,1972-06-10,10,ET3,32
1972-06-11,1972-06-20,10,ET3,28
1972-06-21,1972-06-30,10,ET3,37
1972-07-01,1972-07-10,10,ET1,35
1972-07-11,1972-07-20,10,ET1,39
1972-07-21,1972-07-31,11,ET1,35
1972-07-01,1972-07-10,10,ET2,31
1972-07-11,1972-07-20,10,ET2,33
1972-07-21,1972-07-31,11,ET2,27
1972-07-01,1972-07-10,10,ET3,29
1972-07-11,1972-07-20,10,ET3,32
1972-07-21,1972-07-31,11,ET3,28
1972-08-01,1972-08-10,10,ET1,31
1972-08-11,1972-08-20,10,ET1,24
1972-08-21,1972-08-31,11,ET1,21
1972-08-01,1972-08-10,10,ET2,22
1972-08-11,1972-08-20,10,ET2,20
