DATE_TIME,FROZEN_CM,THAW_CM,WATER_CONTENT_CM,SNOW_COVER_CM,TERRAIN,SITE
1957-11-30,6,,4.7,1,0,скв.105
1957-11-30,16,,6.2,2,3,скв.107а
1957-11-30,8,,7.3,2,2,скв.107а
1957-11-30,14,,4.6,3,1,скв.108
1957-11-30,6,,5,2,0,скв.108
1957-11-30,12,,5.5,2,1,уч.4
1957-11-30,6,,4.7,2,0,уч.4
1957-12-06,18,,8.8,,1,скв.105
1957-12-06,8,,6.3,1,0,скв.105
1957-12-06,18,,8,,3,скв.107а
1957-12-06,12,,11.3,,2,скв.107а
1957-12-06,18,,6.5,,1,скв.108
1957-12-06,6,,5.1,,0,скв.108
1957-12-06,14,,6.3,,1,уч.4
1957-12-06,6,,4.3,,0,уч.4
1957-12-10,13,,9.2,26,1,скв.105
1957-12-10,8,,5.6,32,0,скв.105
1957-12-10,13,,10,27,3,скв.107а
1957-12-10,12,,11.9,23,2,скв.107а
1957-12-10,15,,8.7,20,1,скв.108
1957-12-10,9,,6.6,29,0,скв.108
1957-12-10,12,,6.7,31,1,уч.4
1957-12-10,7,,5.2,32,0,уч.4
1957-12-20,14,,10,15,1,скв.105
1957-12-20,9,,2.6,19,0,скв.105
1957-12-20,16,,12.2,14,3,скв.107а
1957-12-20,16,,14.8,15,2,скв.107а
1957-12-20,15,,5.9,12,1,скв.108
1957-12-20,8,,5.8,19,0,скв.108
1957-12-20,14,,7,17,1,уч.4
1957-12-20,4,,2,20,0,уч.4
1957-12-31,12,,7.5,8,1,скв.105
1957-12-31,7,,6.1,9,0,скв.105
1957-12-31,16,,8.7,6,3,скв.107а
1957-12-31,18,,17.5,2,2,скв.107а
1957-12-31,15,,6.5,3,1,скв.108
1957-12-31,6,,5.5,2,0,скв.108
1957-12-31,10,,6,8,1,уч.4
1957-12-31,2,,1.4,10,0,уч.4
1958-01-10,14,,9.7,16,1,скв.105
1958-01-10,7,,5.7,16,0,скв.105
1958-01-10,16,,10.9,15,3,скв.107а
1958-01-10,20,,18.9,10,2,скв.107а
1958-01-10,16,,11.8,13,1,скв.108
1958-01-10,13,,12.5,11,0,скв.108
1958-01-10,10,,7.3,19,1,уч.4
1958-01-10,6,,4.7,17,0,уч.4
1958-01-21,13,,9.5,36,1,скв.105
1958-01-21,7,,5.8,36,0,скв.105
1958-01-21,14,,9.6,31,3,скв.107а
1958-01-21,16,,15.4,25,2,скв.107а
1958-01-21,16,,8,36,1,скв.108
1958-01-21,13,,11.8,38,0,скв.108
1958-01-21,14,,8.5,40,1,уч.4
1958-01-21,9,,7,48,0,уч.4
1958-01-31,18,,13.3,43,1,скв.105
1958-01-31,11,,8.1,47,0,скв.105
1958-01-31,16,,12,28,3,скв.107а
1958-01-31,12,,11.7,34,2,скв.107а
1958-01-31,20,,12.1,35,1,скв.108
1958-01-31,9,,7.8,41,0,скв.108
1958-01-31,16,,8.9,40,1,уч.4
1958-01-31,9,,6.7,45,0,уч.4
1958-02-10,16,,11.1,48,1,скв.105
1958-02-10,12,,10,49,0,скв.105
1958-02-10,16,,12.6,38,3,скв.107а
1958-02-10,14,,13,37,2,скв.107а
1958-02-10,23,,12.3,43,1,скв.108
1958-02-10,13,,12.1,48,0,скв.108
1958-02-10,16,,10.2,42,1,уч.4
1958-02-10,9,,6.5,49,0,уч.4
1958-02-20,14,,10,53,1,скв.105
1958-02-20,12,,8.4,48,0,скв.105
1958-02-20,16,,12.2,38,3,скв.107а
1958-02-20,17,,15.9,43,2,скв.107а
1958-02-20,21,,10.8,53,1,скв.108
1958-02-20,12,,8.3,48,0,скв.108
1958-02-20,22,,12,49,1,уч.4
1958-02-20,10,,6.4,52,0,уч.4
1958-02-28,18,,10.2,49,1,скв.105
1958-02-28,12,,10.1,54,0,скв.105
1958-02-28,20,,14.8,40,3,скв.107а
1958-02-28,17,,16.3,43,2,скв.107а
1958-02-28,22,,10.8,58,1,скв.108
1958-02-28,13,,10.7,57,0,скв.108
1958-02-28,18,,11.5,51,1,уч.4
1958-02-28,12,,8.5,54,0,уч.4
1958-03-10,17,,12.4,67,1,скв.105
1958-03-10,9,,6.6,69,0,скв.105
1958-03-10,20,,13.6,67,3,скв.107а
1958-03-10,17,,15.5,66,2,скв.107а
1958-03-10,18,,11.9,73,1,скв.108
1958-03-10,14,,12.8,77,0,скв.108
1958-03-10,14,,10.4,80,1,уч.4
1958-03-10,11,,6,90,0,уч.4
1958-03-20,15,,9.6,64,1,скв.105
1958-03-20,7,,6.4,65,0,скв.105
1958-03-20,18,,14,65,3,скв.107а
1958-03-20,18,,17.5,72,2,скв.107а
1958-03-20,18,,11.8,70,1,скв.108
1958-03-20,10,,9.1,70,0,скв.108
1958-03-20,18,,9.6,79,1,уч.4
1958-03-20,11,,5.7,76,0,уч.4
1958-03-31,19,,11.4,56,1,скв.105
1958-03-31,9,,7.1,61,0,скв.105
1958-03-31,18,,13.5,62,3,скв.107а
1958-03-31,18,,16.9,54,2,скв.107а
1958-03-31,21,,11.8,67,1,скв.108
1958-03-31,7,,6.2,68,0,скв.108
1958-03-31,16,,7.2,61,1,уч.4
1958-03-31,5,,3.3,68,0,уч.4
1958-04-10,18,,13,58,1,скв.105
1958-04-10,11,,7.9,58,0,скв.105
1958-04-10,19,,13.4,53,3,скв.107а
1958-04-10,20,,18.8,37,2,скв.107а
1958-04-10,27,,17.3,59,1,скв.108
1958-04-10,15,,14.2,59,0,скв.108
1958-04-10,17,,9.6,58,1,уч.4
1958-04-10,4,,2.6,63,0,уч.4
1958-04-21,16,,11.7,19,1,скв.105
1958-04-21,5,,3.3,20,0,скв.105
1958-04-21,15,,12.6,12,3,скв.107а
1958-04-21,18,,17.9,4,2,скв.107а
1958-04-21,18,,12.3,20,1,скв.108
1958-04-21,8,10,7.2,27,0,скв.108
1958-04-21,16,2,11.6,28,1,уч.4
1958-04-21,4,2,3.6,34,0,уч.4
1958-04-30,14,5,9.2,,1,скв.105
1958-04-30,6,2,6,,0,скв.105
1958-04-30,17,4,11.5,,3,скв.107а
1958-04-30,10,,10,,2,скв.107а
1958-04-30,17,4,10.4,,1,скв.108
1958-04-30,3,4,2.9,,0,скв.108
1958-04-30,14,3,8.6,,1,уч.4
1958-04-30,3,2,1.9,,0,уч.4
1958-11-20,9,,3.4,,1,скв.105
1958-11-20,4,,2.8,,0,скв.105
1958-11-20,7,,2.9,,3,скв.107а
1958-11-20,4,,3.6,,2,скв.107а
1958-11-20,9,,2.8,,1,скв.108
1958-11-20,5,,2.3,,0,скв.108
1958-11-20,9,,3.2,,1,уч.4
1958-11-20,4,,1.9,,0,уч.4
1958-12-03,8,,5,4,1,скв.105
1958-12-03,3,,2.7,4,0,скв.105
